id,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
3HGnIIdHYIbkowzLk8UHbE,0.678,0.528,10.0,-7.317,0.0551,0.289,0.0,0.0734,0.614,79.018
1tf4Bfk8JIKryLpWYRvyiI,0.653,0.623,8.0,-4.56,0.0244,0.508,3.32e-06,0.285,0.718,100.021
0XxNamjHxu0ercIQmWNkRT,0.502,0.662,9.0,-4.041,0.0293,0.00322,0.00274,0.119,0.4,110.917
69AIpwGNLxr4qS1X5ynx60,0.586,0.559,4.0,-6.725,0.05,0.639,0.0,0.0872,0.437,177.945
4FdPnT2cFrpWCmWZd7GXc3,0.471,0.846,0.0,-5.269,0.0389,0.00279,2.86e-06,0.145,0.539,100.089
1AIlY4mVcOY34SNA4CTVbC,0.582,0.724,5.0,-3.21,0.0319,0.0142,0.0,0.0484,0.495,76.986
4k3lPl8YTKuY8c1HelVnm3,0.501,0.815,1.0,-4.865,0.0436,0.0513,0.0,0.106,0.46,160.087
7JjymfuNMxQgOQJ4mGOdbg,0.731,0.674,10.0,-5.018,0.0397,0.14,0.0,0.114,0.623,99.05
4Qum1kECNQrpREev5fvAQ4,0.492,0.708,10.0,-4.639,0.0334,0.0975,0.0,0.12,0.697,161.989
4GyD3o5hWoyCuYpdlzZlRL,0.593,0.552,1.0,-5.838,0.028,0.18,1.71e-05,0.11,0.39,115.0
0ODaBMQ3tbTefbmbMWTwdT,0.463,0.76,2.0,-5.958,0.11,0.0379,0.0,0.115,0.65,123.899
0OCY4cY7ZhmFMLR8Zipb51,0.567,0.868,8.0,-4.699,0.0605,0.0931,0.0,0.0986,0.517,154.07
4PuAqZlL1tkidkuxfDlLbF,0.641,0.78,3.0,-5.138,0.0852,0.0206,0.0,0.143,0.693,98.004
7sGULdccMGSggXDq7ZjT3w,0.733,0.813,0.0,-4.752,0.0608,0.506,0.0,0.303,0.487,90.002
6zuVzhogxotQnXIxr2wLE5,0.504,0.746,6.0,-4.018,0.029,0.323,3.93e-06,0.115,0.596,92.955
2NYOqKy4VX6dqVtzrv1Cx9,0.494,0.782,3.0,-4.228,0.0409,0.0443,0.0,0.0921,0.44,75.932
2jt5TmTYrmdr46cGHrcFjq,0.556,0.725,10.0,-5.056,0.0314,0.14,0.0,0.106,0.452,142.104
4MDYIbU6I29Gjiu7JATTIJ,0.529,0.755,1.0,-5.864,0.125,0.222,0.0,0.0986,0.528,96.86
03kCiUPjdAV9ur9ugm8PQT,0.472,0.937,0.0,-4.028,0.0567,0.00717,0.0,0.11,0.454,140.073
1GOMHxclGDvkcODCfYuuje,0.432,0.488,3.0,-7.128,0.0305,0.298,9.5e-05,0.158,0.222,176.038
